title,publication_url,pdf_link
"Kriston, A., Hamon, R., Fernandez Llorca, D. et al.,Toward explainable, robust and fair AI in automated and autonomous vehicles",https://publications.jrc.ec.europa.eu/repository/handle/JRC130621,N/A
"Schedl, M., Gómez, E., Lex, E.,Trustworthy Algorithmic Ranking Systems",https://dl.acm.org/doi/abs/10.1145/3539597.3572723,N/A
"Hupont, I., Tolan, S., Frau, P., Porcaro, L., Gómez, E.,Measuring and fostering diversity in Affective Computing research",https://ieeexplore.ieee.org/abstract/document/10041991,N/A
"Hupont, I. Micheli, M., Delipetrev, B., Gómez E., Soler Garrido, J.,Documenting High-Risk AI: A European Regulatory Perspective",https://ieeexplore.ieee.org/abstract/document/10109295,N/A
"Fernandez Llorca, D. and Gomez, E.,Trustworthy Artificial Intelligence Requirements in the Autonomous Driving Domain",https://ieeexplore.ieee.org/abstract/document/10042093,N/A
"Soler Garrido, J. et al.,AI Watch: Artificial Intelligence Standardisation Landscape Update",https://publications.jrc.ec.europa.eu/repository/handle/JRC131155,N/A
"Duch-Brown et al.,New Publication in Research Policy: Market power and artificial intelligence work on online labour markets",https://www.sciencedirect.com/science/article/pii/S0048733321002389,N/A
"Hupont et al.,Monitoring diversity of AI conferences: lessons learnt and future challenges in the DivinAI project",https://arxiv.org/abs/2203.01657,https://arxiv.org/pdf/2203.01657.pdf
"Fernandez Llorca, D. and Gomez Gutierrez, E.,Artificial Intelligence in Autonomous Vehicles: towards trustworthy systems",https://publications.jrc.ec.europa.eu/repository/handle/JRC128170,N/A
"Hamon et al.,Artificial Intelligence in Automated Driving: an analysis of safety and cybersecurity challenges",https://publications.jrc.ec.europa.eu/repository/handle/JRC127189,N/A
"Biparva et al.,Video action recognition for lane-change classification and prediction of surrounding vehicles",https://ieeexplore.ieee.org/document/9749024,N/A
"Martinez Plumed et al.,AI Watch: Revisiting Technology Readiness Levels for relevant Artificial Intelligence technologies",https://publications.jrc.ec.europa.eu/repository/handle/JRC129399,N/A
"Izquierdo Gonzalo et al.,Testing Predictive Automated Driving Systems: Lessons Learned and Future Recommendations",https://ieeexplore.ieee.org/document/9780387,N/A
